bee_id,group,trial,choice,block
10,RL,7,1,10
10,RL,8,1,10
10,RL,9,1,10
10,RL,10,0,10
10,RL,11,0,20
10,RL,12,0,20
10,RL,13,0,20
10,RL,14,0,20
10,RL,15,1,20
10,RL,16,0,20
10,RL,17,0,20
10,RL,18,0,20
10,RL,19,1,20
10,RL,20,0,20
10,RL,21,0,30
10,RL,22,0,30
10,RL,23,1,30
10,RL,24,1,30
10,RL,25,0,30
10,RL,26,0,30
10,RL,27,0,30
10,RL,28,1,30
10,RL,29,0,30
10,RL,30,0,30
10,RL,31,0,40
10,RL,32,1,40
10,RL,33,0,40
10,RL,34,0,40
10,RL,35,0,40
10,RL,36,0,40
10,RL,37,1,40
10,RL,38,1,40
10,RL,39,1,40
10,RL,40,1,40
11,LR,1,0,10
11,LR,2,0,10
11,LR,3,0,10
11,LR,4,1,10
11,LR,5,1,10
11,LR,6,0,10
11,LR,7,1,10
11,LR,8,1,10
11,LR,9,1,10
11,LR,10,0,10
11,LR,11,0,20
11,LR,12,1,20
11,LR,13,1,20
11,LR,14,1,20
11,LR,15,0,20
11,LR,16,0,20
11,LR,17,1,20
11,LR,18,0,20
11,LR,19,1,20
11,LR,20,0,20
11,LR,21,0,30
11,LR,22,1,30
11,LR,23,1,30
11,LR,24,0,30
11,LR,25,0,30
11,LR,26,1,30
11,LR,27,1,30
11,LR,28,0,30
11,LR,29,0,30
11,LR,30,0,30
11,LR,31,1,40
11,LR,32,1,40
11,LR,33,1,40
11,LR,34,1,40
11,LR,35,1,40
11,LR,36,1,40
11,LR,37,1,40
11,LR,38,1,40
11,LR,39,1,40
11,LR,40,0,40
12,RL,1,0,10
12,RL,2,0,10
12,RL,3,1,10
12,RL,4,1,10
12,RL,5,0,10
12,RL,6,1,10
12,RL,7,0,10
12,RL,8,1,10
12,RL,9,1,10
12,RL,10,0,10
12,RL,11,1,20
12,RL,12,1,20
12,RL,13,0,20
12,RL,14,1,20
12,RL,15,0,20
12,RL,16,0,20
12,RL,17,1,20
12,RL,18,0,20
12,RL,19,1,20
12,RL,20,1,20
12,RL,21,0,30
12,RL,22,0,30
12,RL,23,0,30
12,RL,24,1,30
12,RL,25,1,30
12,RL,26,1,30
12,RL,27,1,30
12,RL,28,1,30
12,RL,29,0,30
12,RL,30,0,30
12,RL,31,0,40
12,RL,32,1,40
12,RL,33,1,40
12,RL,34,1,40
12,RL,35,1,40
12,RL,36,1,40
12,RL,37,1,40
12,RL,38,0,40
12,RL,39,1,40
12,RL,40,0,40
13,LR,1,1,10
13,LR,2,0,10
13,LR,3,0,10
13,LR,4,0,10
